SalePrice,OverallQual,GrLivArea
266000,9,1684
85000,5,1112
140200,6,1577
151500,6,958
157500,6,1478
154000,7,1626
437154,9,2728
318061,9,1869
190000,7,1453
95000,5,1111
105900,6,720
140000,6,1595
177500,6,1200
173000,6,1167
134000,5,1142
130000,5,1352
280000,8,1924
156000,6,912
145000,5,1505
198500,7,1922
118000,6,987
190000,6,1574
147000,5,1344
159000,6,1394
165000,6,1431
132000,5,1268
162000,5,1287
172400,6,1664
134432,4,1588
125000,6,752
123000,5,1319
219500,7,1928
61000,1,904
148000,5,914
340000,8,2466
394432,9,1856
179000,6,1800
127000,5,1691
187750,7,1301
213500,7,1797
76000,6,784
240000,6,1953
192000,8,1269
81000,5,1184
125000,6,1125
191000,7,1479
426000,10,2332
119000,5,1367
215000,6,1961
106500,5,882
100000,4,788
109000,5,1034
129000,5,1144
123000,5,894
169500,5,1812
67000,5,1077
241000,7,1550
245500,8,1288
164990,7,1310
108000,5,672
258000,8,2263
168000,6,1572
150000,4,1620
115000,6,1639
177000,6,1680
280000,7,2172
339750,8,2078
60000,5,1276
145000,5,1056
222000,7,1478
115000,5,1028
228000,7,2097
181134,7,1340
149500,6,1400
239000,6,2624
126000,5,1134
142000,5,1056
206300,7,1344
215000,6,1602
113000,5,988
315000,8,2630
139000,6,1196
135000,7,1389
275000,7,1644
109008,4,907
195400,7,1208
175000,6,1412
85400,6,987
79900,6,1198
122500,5,1365
181000,6,1604
81000,4,630
212000,7,1661
116000,6,1118
119000,6,904
90350,5,694
110000,6,1196
555000,10,2402
118000,4,1440
162900,5,1573
172500,7,1258
210000,7,1908
127500,6,1689
190000,6,1888
199900,7,1886
119500,6,1376
120000,3,1183
110000,6,813
280000,7,1533
204000,6,1756
210000,8,1590
188000,5,1728
175500,7,1242
98000,5,1344
256000,4,1663
161000,8,1666
110000,5,1203
263435,8,1935
155000,7,1135
62383,5,864
188700,6,1660
124000,5,1040
178740,7,1414
167000,7,1277
146500,5,1644
250000,8,1634
187000,6,1710
212000,8,1502
190000,7,1969
148000,6,1072
440000,8,1976
251000,8,1652
132500,5,970
208900,6,1493
380000,9,2643
297000,8,1718
89471,4,1131
326000,9,1850
374000,9,1792
155000,7,1826
164000,6,1216
132500,5,999
147000,5,1113
156000,5,1073
175000,5,1484
160000,5,2414
86000,4,630
115000,5,1304
133000,6,1578
172785,6,1456
155000,5,1269
91300,5,886
34900,4,720
430000,8,3228
184000,7,1820
130000,5,899
120000,5,912
113000,6,1218
226700,7,1768
140000,5,1214
289000,7,1801
147000,6,1322
124500,5,1960
215000,8,1911
208300,6,1218
161000,7,1378
124500,5,1041
164900,5,1363
202665,7,1368
129900,5,864
134000,6,1080
96500,5,789
402861,10,2020
158000,6,2119
265000,7,2344
211000,6,1796
234000,7,2080
106250,4,1294
150000,6,1244
159000,6,1664
184750,10,4676
315750,7,2398
176000,7,1266
132000,5,928
446261,9,2713
86000,4,605
200624,6,2515
175000,6,1509
128000,6,1362
107500,5,827
39300,1,334
178000,8,1414
107500,5,1347
188000,7,1724
111250,4,864
158000,5,1159
272000,8,1601
315000,9,1838
248000,8,2285
213250,7,1680
133000,7,767
179665,7,1496
229000,7,2183
210000,6,1635
129500,5,768
125000,5,825
263000,7,2094
140000,6,1069
112500,5,928
255500,8,1717
108000,4,1126
284000,7,2046
113000,5,1048
141000,5,1092
108000,4,1336
175000,7,1446
234000,7,1557
121500,5,1392
170000,5,1389
108000,5,996
185000,6,1674
268000,7,2295
128000,6,1647
325000,9,2504
214000,7,1535
316600,8,2132
135960,5,943
142600,5,1728
120000,6,864
224500,7,1692
170000,7,1430
139000,5,1109
118500,5,1216
145000,7,1477
164500,5,1320
146000,7,1392
131500,5,1795
181900,6,1429
253293,8,2042
118500,6,816
325000,10,2775
133000,4,1573
369900,8,2028
130000,6,838
137000,5,860
143000,5,1473
79500,5,935
185900,7,1582
451950,10,2296
138000,5,816
140000,6,848
110000,5,924
319000,8,1826
114504,6,1368
194201,7,1402
217500,5,1647
151000,6,1556
275000,8,1904
141000,6,1375
220000,8,1915
151000,7,1200
221000,7,1494
205000,7,1986
152000,5,1040
225000,5,2008
359100,8,3194
118500,4,1029
313000,9,2153
148000,6,1032
261500,8,1872
147000,5,1120
75500,4,630
137500,6,1054
183200,6,1509
105500,6,832
314813,9,1828
305000,8,2262
67000,3,864
240000,6,2614
135000,5,980
168500,6,1512
165150,6,1790
160000,6,1116
139900,5,1422
153000,6,1520
135000,5,2080
168500,6,1350
124000,5,1750
209500,8,1554
82500,7,1411
139400,5,1056
144000,6,1056
200000,6,3395
60000,2,800
93000,5,1387
85000,5,796
264561,8,1567
274000,8,1518
226000,7,1929
345000,8,2704
152000,5,1620
370878,9,1766
143250,6,981
98300,5,1048
155000,6,1094
155000,6,1839
84500,4,630
205950,7,1665
108000,4,1510
191000,7,1716
135000,6,1469
350000,8,2113
88000,6,1092
145500,5,1053
149000,7,1502
97500,6,1458
167000,5,1486
197900,7,1935
402000,8,2448
110000,6,1392
137500,4,1181
423000,8,2097
230500,8,1936
129000,6,2380
193500,6,1679
168000,5,1437
137500,4,1180
173500,6,1476
103600,6,1369
165000,6,1208
257500,6,1839
140000,6,1136
148500,6,1441
87000,4,1774
109500,5,792
372500,8,2046
128500,5,988
143000,6,923
159434,5,1520
173000,6,1291
285000,9,1668
221000,7,1839
207500,7,2090
227875,7,1761
148800,7,1102
392000,8,1419
194700,6,1362
141000,6,848
755000,10,4316
335000,7,2519
108480,5,1073
141500,5,1539
176000,6,1137
89000,5,616
123500,5,1148
138500,5,894
196000,7,1391
312500,8,1800
140000,7,1164
361919,8,2576
140000,5,1812
213000,7,1484
55000,4,1092
302000,7,1824
254000,8,1324
179540,7,1456
109900,5,904
52000,3,729
102776,4,1178
189000,8,1228
129000,4,960
130500,6,1479
165000,6,1350
159500,7,2554
157000,5,1178
341000,7,2418
128500,5,971
275000,8,1742
143000,6,848
124500,4,864
135000,4,1470
320000,9,1698
120500,4,864
222000,6,1680
194500,7,1232
110000,5,1776
103000,4,1208
236500,8,1616
187500,7,1146
222500,7,2031
131400,5,1144
108000,5,948
163000,7,1768
93500,3,1040
239900,8,1801
179000,5,1200
190000,7,1728
132000,5,1432
142000,6,912
179000,7,1349
175000,5,1464
180000,8,1337
299800,8,2715
236000,7,2256
265979,7,2640
260400,7,1720
98000,4,1529
96500,4,1140
162000,7,1320
217000,6,1494
275500,8,2098
156000,6,1026
172500,6,1471
212000,8,1768
158900,6,1386
179400,7,1501
290000,8,2531
127500,6,864
100000,5,1301
215200,7,1547
337000,8,2365
270000,8,1494
264132,9,1506
196500,7,1714
160000,6,1750
216837,7,1836
538000,8,3279
134900,5,858
102000,4,1220
107000,6,1117
114500,5,912
395000,8,1973
162000,6,1204
221500,7,1614
142500,5,894
144000,5,2020
135000,6,1004
176000,7,1253
175900,6,1603
187100,7,1430
165500,5,1110
128000,6,1484
161500,6,1342
139000,5,1652
233000,7,2084
107900,4,901
187500,6,2087
160200,7,1145
146800,6,1062
269790,7,2013
225000,8,1496
194500,7,1895
171000,6,1564
143500,6,1285
110000,5,773
485000,9,3140
175000,5,1768
200000,6,1688
109900,4,1196
189000,7,1456
582933,9,2822
118000,5,1128
227680,7,1428
135500,5,980
223500,5,1576
159950,5,1086
106000,5,2138
181000,6,1309
144500,6,848
55993,5,1044
157900,6,1442
116000,5,1250
224900,7,1661
137000,5,1008
271000,8,1689
155000,6,1052
224000,7,1358
183000,7,1640
93000,4,936
225000,7,1733
139500,6,1489
232600,8,1489
385000,10,2084
109500,5,784
189000,7,1434
185000,5,2126
147400,7,1223
166000,6,1392
151000,7,1200
237000,7,1829
167000,6,1516
139950,5,1144
128000,4,1067
153500,5,1559
100000,6,987
144000,5,1099
130500,5,1200
140000,6,1482
157500,5,1539
174900,6,1165
141000,5,1800
153900,5,1416
171000,5,1701
213000,7,1775
133500,5,864
240000,6,2358
187000,6,1855
131500,6,848
215000,8,1456
164000,7,1646
158000,6,1445
170000,5,1779
127000,5,1040
147000,6,1026
174000,6,1481
152000,7,1370
250000,6,2654
189950,7,1426
131500,5,1039
152000,6,1097
132500,5,1148
250580,7,1372
148500,5,1002
248900,8,1646
129000,4,1120
169000,5,2320
236000,7,1949
109500,5,894
200500,6,1682
116000,5,910
133000,5,1268
66500,5,1131
303477,8,2610
132250,4,1040
350000,9,2224
148000,5,1155
136500,5,864
157000,5,1090
187500,7,1717
178000,6,1593
118500,4,2230
100000,5,892
328900,9,1709
145000,5,1712
135500,5,1393
268000,8,2217
149500,6,1505
122900,5,924
172500,6,1683
154500,6,1068
165000,5,1383
118858,5,1535
140000,6,1796
106500,4,951
142953,5,2240
611657,9,2364
135000,5,1236
110000,4,858
153000,5,1306
180000,7,1509
240000,7,1670
125500,5,902
128000,5,1063
255000,8,1636
250000,7,2057
131000,5,902
174000,6,1484
154300,5,2274
143500,5,1268
88000,5,1015
145000,5,2002
173733,6,1224
75000,4,1092
35311,2,480
135000,4,1229
238000,7,2127
176500,6,1414
201000,6,1721
145900,5,2200
169990,6,1316
193000,6,1617
207500,6,1686
175000,5,1126
285000,8,2374
176000,7,1978
236500,8,1788
222000,7,2236
201000,8,1466
117500,5,925
320000,9,1905
190000,7,1500
242000,7,2069
79900,4,747
184900,7,1200
253000,7,1971
239799,7,1962
244400,7,2403
150900,6,1728
214000,7,2060
150000,4,1440
143000,5,1632
137500,6,1344
124900,5,1869
143000,5,1144
270000,8,1629
192500,7,1776
197500,6,1381
129000,5,864
119900,5,965
133900,5,768
172000,5,1968
127500,6,980
145000,6,1958
124000,6,1229
132000,5,1057
185000,7,1337
155000,7,1416
116500,5,858
272000,6,2872
155000,6,1548
239000,9,1800
214900,7,1894
178900,6,1484
160000,5,1308
135000,5,1098
37900,3,968
140000,6,1095
135000,4,1192
173000,7,1626
99500,6,918
182000,7,1428
167500,7,2019
165000,7,1382
85500,4,869
199900,7,1241
110000,4,894
139000,5,1121
178400,7,999
336000,8,2612
159895,7,1266
255900,8,2290
126000,5,1734
125000,5,1164
117000,6,1635
395192,9,1940
195000,6,2030
197000,7,1576
348000,8,2392
168000,8,1742
187000,6,1851
173900,6,1500
337500,10,1718
121600,4,1230
136500,5,1050
185000,6,1442
91000,3,1077
206000,7,1208
82000,3,944
86000,5,691
232000,8,1574
136905,5,1680
181000,7,1504
149900,5,985
163500,6,1657
88000,4,1092
240000,7,1710
102000,5,1522
135000,5,1271
100000,5,1664
165000,6,1502
85000,5,1022
119200,6,1082
227000,8,1665
203000,7,1504
187500,8,1360
160000,7,1472
213490,7,1506
176000,4,1132
194000,7,1220
87000,5,1248
191000,7,1504
287000,8,2898
112500,5,882
167500,5,1264
293077,8,1646
105000,5,1376
118000,6,1218
160000,5,1928
197000,7,3082
310000,8,2520
230000,7,1654
119750,5,954
84000,4,845
315500,9,1620
287000,8,2263
97000,4,1344
80000,4,630
155000,5,1803
173000,6,1632
196000,6,1306
262280,7,2329
278000,8,2524
139600,3,1733
556581,9,2868
145000,5,990
115000,5,1771
84900,4,930
176485,7,1302
200141,7,1316
165000,6,1977
144500,5,1526
255000,8,1989
180000,6,1523
185850,7,1364
248000,7,1850
335000,9,2184
220000,6,1991
213500,8,1338
81000,3,894
90000,5,2337
110500,6,1103
154000,5,1154
328000,7,2260
178000,6,1571
167900,6,1611
151400,6,2521
135000,5,893
135000,5,1048
154000,6,1556
91500,5,1456
159500,6,1426
194000,7,1240
219500,7,1740
170000,5,1466
138800,5,1096
155900,6,848
126000,5,990
145000,6,1258
133000,5,1040
192000,7,1459
160000,6,1251
187500,6,1498
147000,6,996
83500,4,1092
252000,8,1953
137500,7,1709
197000,8,1247
92900,3,1040
160000,7,1252
136500,6,1694
146000,5,1200
129000,5,936
176432,6,1314
127000,6,1355
170000,8,1088
128000,4,1324
157000,7,1601
60000,2,438
119500,5,950
135000,5,1134
159500,6,1194
106000,5,1302
325000,8,2622
179900,7,1442
274725,7,2021
181000,6,1690
280000,8,1836
188000,6,1658
205000,7,1964
129900,5,816
134500,5,1008
117000,5,833
318000,8,1734
184100,8,1419
130000,5,894
140000,5,1601
133700,5,1040
118400,6,1012
212900,7,1552
112000,4,960
118000,5,698
163900,7,1482
115000,4,1005
174000,7,1555
259000,7,1530
215000,7,1959
140000,5,936
135000,4,1981
93500,5,974
117500,6,2210
239500,8,2020
169000,6,1600
102000,6,986
119000,6,1252
94000,5,1020
196000,6,1567
144000,5,1167
139000,5,952
197500,5,1868
424870,8,2828
80000,5,1006
80000,4,924
149000,5,1576
180000,6,1298
174500,7,1564
116900,7,1111
143000,7,1482
124000,6,932
149900,5,1466
230000,6,1811
120500,6,816
201800,7,1820
218000,5,1437
179900,5,1265
230000,7,1314
235128,8,1580
185000,6,1876
146000,6,1456
224000,6,1640
129000,5,894
108959,4,1258
194000,5,1432
233170,7,1502
245350,8,1694
173000,6,1671
235000,6,2108
625000,10,3627
171000,6,1118
163000,6,1261
171900,7,1250
200500,5,3086
239000,6,2345
285000,8,2872
119500,5,923
115000,6,1224
154900,5,1343
93000,5,1124
250000,7,2514
392500,8,1652
745000,10,4476
120000,5,1130
186700,5,1572
104900,5,1221
95000,3,1699
262000,8,1624
195000,7,1660
189000,7,1804
168000,4,1622
174000,8,1441
125000,5,1472
165000,6,1224
158000,6,1352
176000,6,1456
219210,7,1863
144000,7,1690
178000,7,1212
148000,4,1382
116050,4,864
197900,7,1779
117000,5,1348
213000,7,1630
153500,5,1074
271900,7,2196
107000,4,1056
200000,6,1700
140000,5,1283
290000,8,1660
189000,6,1845
164000,8,1752
113000,4,672
145000,4,960
134500,5,999
125000,5,894
112000,6,1902
229456,8,1314
80500,4,912
91500,6,1218
115000,5,912
134000,5,1211
143000,6,1846
137900,5,2136
184000,7,1490
145000,6,1138
214000,6,1933
147000,5,912
367294,9,1702
127000,5,1507
190000,5,2620
132500,5,1190
101800,4,1224
142000,5,1188
130000,5,1964
138887,5,1784
175500,7,1626
195000,7,1948
142500,6,1141
265900,8,1484
224900,7,1768
248328,7,1689
170000,7,1173
465000,10,2076
230000,8,1517
178000,6,1868
186500,7,1553
169900,6,1034
129500,6,2058
119000,5,988
244000,7,2110
171750,7,1405
130000,5,874
294000,7,2167
165400,7,1656
127500,6,1367
301500,8,1987
99900,5,864
190000,7,1166
151000,6,1054
181000,6,1675
128900,5,1050
161500,4,1788
180500,6,1824
181000,6,1337
183900,7,1452
122000,7,1889
378500,9,2018
381000,8,3447
144000,5,1524
260000,7,1524
185750,6,1489
137000,5,935
177000,6,1357
139000,5,1250
137000,5,1920
162000,6,1395
197900,6,1724
237000,8,2031
68400,4,1128
227000,7,1573
180000,7,1339
150500,5,1040
139000,6,1824
169000,6,2447
132500,6,1412
143000,6,1328
190000,5,1582
278000,8,1659
281000,8,1970
180500,5,1152
119500,5,1302
107500,5,2372
162900,7,1664
115000,5,864
138500,5,1052
155000,5,1128
140000,6,1072
160000,10,5642
154000,5,1246
225000,7,1983
177500,6,1494
290000,8,2526
232000,7,1616
130000,7,1708
325000,9,1652
202500,7,1368
138000,5,990
147000,5,1122
179200,6,1294
335000,7,1902
203000,7,1274
302000,8,2810
333168,9,2599
119000,4,948
206900,6,2112
295493,8,1630
208900,7,1352
275000,8,1787
111000,4,948
156500,6,1478
72500,3,720
190000,7,1923
82500,4,708
147000,8,1795
55000,4,796
79000,3,774
130500,5,816
256000,6,2792
176500,7,1632
227000,8,1588
132500,5,954
100000,4,816
125500,5,1360
125000,5,1365
167900,6,1334
135000,5,1656
52500,4,693
200000,7,1861
128500,5,864
123000,4,872
155000,6,1114
228500,8,2169
177000,6,1913
155835,7,1456
108500,4,960
262500,7,2156
283463,8,1776
215000,7,1494
122000,8,2358
200000,5,2634
171000,6,1716
134900,6,1176
410000,8,3238
235000,7,1865
170000,7,1920
110000,5,892
149900,5,1078
177500,6,1573
315000,9,1980
189000,5,2601
260000,7,1530
104900,4,1738
156932,6,1412
144152,7,1200
216000,7,1674
193000,7,1790
127000,5,1475
144000,6,848
232000,8,1668
105000,4,1374
165500,6,1661
274300,7,2097
466500,10,2633
250000,7,1958
239000,8,1571
91000,6,790
117000,5,1604
83000,6,987
167500,5,1394
58500,3,864
237500,6,2117
157000,7,1762
112000,5,1416
105000,6,1258
125500,4,1154
250000,7,2784
136000,6,2526
377500,9,1746
131000,6,1218
235000,7,1525
124000,5,1584
123000,5,900
163000,6,1912
246578,7,1500
281213,8,2482
160000,5,1687
137500,5,1513
138000,5,1904
137450,6,1608
120000,6,1158
193000,6,1593
193879,7,1294
282922,8,1464
105000,3,1214
275000,8,1646
133000,5,768
112000,5,833
125500,4,1363
215000,7,2093
230000,7,1840
140000,6,1668
90000,4,1040
257000,8,1844
207000,6,1848
175900,7,1569
122500,4,2290
340000,8,2450
124000,5,1144
223000,6,1844
179900,6,1416
127500,6,1069
136500,6,848
274970,6,2201
144000,5,1344
142000,6,1252
271000,7,2127
140000,5,1558
119000,5,804
182900,6,1440
192140,5,1838
143750,6,958
64500,4,968
186500,6,1792
160000,5,1126
174000,6,1537
120500,4,864
394617,8,1932
149700,6,1236
197000,7,1725
191000,6,2555
149300,6,848
310000,10,2007
121000,6,952
179600,7,1422
129000,6,913
157900,5,1188
240000,8,2090
112000,4,1346
92000,5,630
136000,5,1792
287090,8,1578
145000,5,1072
84500,5,1140
185000,7,1221
175000,6,1647
210000,6,2073
266500,7,2340
142125,5,1078
147500,5,1256
